,name,url,price,rating,nReviews
10,Blue Tree Kids School Bag Soft Plush Backpack Cartoon Bags Combo Mini Travel Bag for for Girls Boys Toddler Baby (Spiderman & Recon)  ,https://amazon.in/Blue-Tree-Backpack-Cartoon-Spiderman/dp/B08YP5HQVP/ref=sxin_14_trfob_7_B08YP5HQVP?content-id=amzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26%3Aamzn1.sym.aa46410f-8156-4270-bbdf-247d793e0b26&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08YP5HQVP&pd_rd_r=23d0c894-3d28-4043-94fa-1b62910fc941&pd_rd_w=GaScQ&pd_rd_wg=CRPkC&pf_rd_p=aa46410f-8156-4270-bbdf-247d793e0b26&pf_rd_r=JZKFBR178DAACMJ17PCS&qid=1685079931&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-8-cc7a04fe-cc55-42ad-b883-1b910070c86a,₹415,5.0 out of 5 stars,1
11,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER  ",https://amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1685079931&sprefix=ba%2Caps%2C283&sr=8-6,"₹1,299",4.2 out of 5 stars,204
12,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls  ",https://amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1685079931&sprefix=ba%2Caps%2C283&sr=8-7,₹699,4.0 out of 5 stars,"4,024"
13,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue)  ,https://amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1685079931&sprefix=ba%2Caps%2C283&sr=8-8,₹499,3.9 out of 5 stars,802
14,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls  ",https://amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1685079931&sprefix=ba%2Caps%2C283&sr=8-9,₹699,4.0 out of 5 stars,"4,024"
15,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover  ,https://amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1685079931&sprefix=ba%2Caps%2C283&sr=8-10,₹749,3.9 out of 5 stars,"2,764"
16,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel  ,https://amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1685079931&sprefix=ba%2Caps%2C283&sr=8-13,₹899,4.3 out of 5 stars,"5,925"
17,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB)  ,https://amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1685079931&sprefix=ba%2Caps%2C283&sr=8-14,₹248,4.0 out of 5 stars,"19,029"
18,"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER  ",https://amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1685079931&sprefix=ba%2Caps%2C283&sr=8-15,"₹1,299",4.3 out of 5 stars,194
19,"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop Bag, Office bag, college bag and anti -theft back pocket (Black)  ",https://amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1685079931&sprefix=ba%2Caps%2C283&sr=8-16,₹599,3.8 out of 5 stars,"2,034"
20,Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack  ,https://amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1685079931&sprefix=ba%2Caps%2C283&sr=8-17,"₹1,999",4.5 out of 5 stars,"7,037"
21,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty  ,https://amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1685079931&sprefix=ba%2Caps%2C283&sr=8-18,₹899,3.9 out of 5 stars,"9,506"
22,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag  ,https://amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1685079931&sprefix=ba%2Caps%2C283&sr=8-19,₹698,4.1 out of 5 stars,"1,275"
23,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey)  ,https://amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1685079931&sprefix=ba%2Caps%2C283&sr=8-20,₹599,3.8 out of 5 stars,141
24,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black)  ,https://amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1685079934&sprefix=ba%2Caps%2C283&sr=8-19,"₹1,099",4.3 out of 5 stars,"5,589"
25,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips  ",https://amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1685079934&sprefix=ba%2Caps%2C283&sr=8-20,₹529,3.9 out of 5 stars,"15,926"
26,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps  ",https://amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1685079934&sprefix=ba%2Caps%2C283&sr=8-21,₹649,4.4 out of 5 stars,"3,042"
27,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley  ,https://amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1685079934&sprefix=ba%2Caps%2C283&sr=8-22,"₹1,199",4.0 out of 5 stars,"7,626"
28,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black  ,https://amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1685079934&sprefix=ba%2Caps%2C283&sr=8-23,₹199,3.7 out of 5 stars,"6,447"
29,"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black  ",https://amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1685079934&sprefix=ba%2Caps%2C283&sr=8-24,₹598,4.3 out of 5 stars,"10,923"
30,"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.  ",https://amazon.in/Genie-Glitter-Backpack-Women-compartments/dp/B097JHQH13/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1685079934&sprefix=ba%2Caps%2C283&sr=8-25,₹889,4.3 out of 5 stars,680
31,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown  ,https://amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1685079934&sprefix=ba%2Caps%2C283&sr=8-26,₹988,4.4 out of 5 stars,"5,703"
32,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping  ",https://amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1685079934&sprefix=ba%2Caps%2C283&sr=8-29,₹799,3.8 out of 5 stars,"2,710"
33,Half Moon Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets  ,https://amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BLVQ9NTD/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1685079934&sprefix=ba%2Caps%2C283&sr=8-30,₹649,3.8 out of 5 stars,466
34,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover  ,https://amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1685079934&sprefix=ba%2Caps%2C283&sr=8-31,₹749,3.9 out of 5 stars,"2,764"
